0-as => 0-s
0-ás => 0-s
1-e => 1-je
1-eig => 1-jeig
1-éig => 1-jéig
1-en => 1-jen
1-én => 1-jén
1-ere => 1-jere
1-ére => 1-jére
1-etol => 1-jetol
1-étől => 1-jétől
1-vel => 1-jével
A0-as => A0-s
A0-ás => A0-s
abbéli => abbeli
adatbaziskezelo => adatbazis-kezelo
adatbáziskezelő => adatbázis-kezelő
adig => addig
affelett => afelett
aggaj => aggaly
aggáj => aggály
akadaj => akadaly
akadáj => akadály
akarmijen => akarmilyen
akármijen => akármilyen
akkumlator => akkumulator
akkumlátor => akkumulátor
alat => allat/alatt
alíg => alig
%-al => %-kal
alla => ala
allá => alá
allatt => allat/alatt
alok => allok
álok => állok
alsz => allsz
álsz => állsz
alyanlat => ajanlat
alyánlat => ajánlat
alyto => ajto
alytó => ajtó
ambíciózus => ambiciózus
amej => amely
amijen => amilyen
amikoris => amikor is
aminósav => aminosav
amugyis => amugy is
amúgyis => amúgy is
annakidejen => annak idejen
annakidején => annak idején
anterna => antenna
apaj => apaly
apáj => apály
árbóc => árboc
Arpadhazi => Arpad-hazi
Árpádházi => Árpád-házi
aszaj => aszaly
aszáj => aszály
asszimetrikus => aszimmetrikus
asszimmetrikus => aszimmetrikus
aszt => azt
atbocsajt => atbocsat
átbocsájt => átbocsát
atol => attol/atoll
attoll => attol/atoll
autómata => automata
autómatikus => automatikus
az mellett => amellett
az miatt => amiatt
bajbajutott => bajba jutott
bakkancs => bakancs
balyos => bajos
bályos => bájos
bannol.* => banol
bejeg => belyeg
béjeg => bélyeg
bejjebb => beljebb
bellyebb => beljebb
bene => benne
bennt => bent
betü => betű
bicigli => bicikli
billentyü => billentyű
billiard asztal => biliardasztal
billiárd asztal => biliárdasztal
bisztos => biztos
bizotsag => bizottsag
bizotság => bizottság
bíztatás => biztatás
bíztat => biztat
bojong => bolyong
bólya => bója
box => boksz
boyler => bojler
börönd => bőrönd
brillians => brilians
brilliáns => briliáns
bulgar => bolgar
bulgár => bolgár
B vitamin => B-vitamin
celuloz => celluloz
celulóz => cellulóz
centirozas => centrirozas
centirozás => centrírozás
centírozás => centrírozás
centiroz => centriroz
centíroz => centríroz
ciganyasszony => cigany asszony
cigányasszony => cigány asszony
cikkej => cikkely
cukrazda => cukraszda
cukrázda => cukrászda
curicullum vitae => curriculum vitae
curiculum vitae => curriculum vitae
C vitamin => C-vitamin
csakazertis => csak azert is
csakazértis => csak azért is
csekej => csekely
csekéj => csekély
cserlye => cserje
csevely => csevej
dagaj => dagaly
dagáj => dagály
dehat => de hat
dehát => de hát
dícsér => dicsér
dícséret => dicséret
dijjat => dijat
díjjat => díjat
diszcont => diszkont
divatárú => divatáru
duhaly => duhaj
D vitamin => D-vitamin
eccer csak => egyszer csak
edig => eddig
eFt => E Ft
eFt-ot => E Ft-ot
egesseg => egeszseg
egésség => egészség
egesznapos => egesz napos
egésznapos => egész napos
egyatalan => egyaltalan
egyátalán => egyáltalán
